a,r,b
{sys_id:3124},"{type:позиция,номер:5,sys_id:594}",{sys_id:1326}
{sys_id:2992},"{type:позиция,номер:2,sys_id:418}",{sys_id:1326}
{sys_id:2990},"{type:позиция,номер:2,sys_id:283}",{sys_id:1326}
{sys_id:3019},"{type:позиция,номер:3,sys_id:323}",{sys_id:1326}
{sys_id:3002},"{type:позиция,номер:4,sys_id:306}",{sys_id:1326}
{sys_id:2989},"{type:позиция,номер:5,sys_id:273}",{sys_id:1326}
{sys_id:2980},"{type:позиция,номер:6,sys_id:168}",{sys_id:1326}
{sys_id:2515},"{type:позиция,номер:6,sys_id:2234}",{sys_id:1326}
{sys_id:2860},"{type:позиция,номер:5,sys_id:2101}",{sys_id:1326}
{sys_id:2897},"{type:позиция,номер:6,sys_id:2124}",{sys_id:1326}
{sys_id:2896},"{type:позиция,номер:5,sys_id:2115}",{sys_id:1326}
{sys_id:2509},"{type:позиция,номер:6,sys_id:2132}",{sys_id:1326}
{sys_id:2895},"{type:позиция,номер:4,sys_id:2650}",{sys_id:1326}
{sys_id:2894},"{type:позиция,номер:4,sys_id:1783}",{sys_id:1326}
{sys_id:2884},"{type:позиция,номер:5,sys_id:1856}",{sys_id:1326}
{sys_id:2669},"{type:позиция,номер:5,sys_id:1838}",{sys_id:1326}
{sys_id:2880},"{type:позиция,номер:6,sys_id:1817}",{sys_id:1326}
{sys_id:2877},"{type:позиция,номер:4,sys_id:1796}",{sys_id:1326}
{sys_id:2892},"{type:позиция,номер:5,sys_id:1768}",{sys_id:1326}
{sys_id:2872},"{type:позиция,номер:5,sys_id:1752}",{sys_id:1326}
{sys_id:2870},"{type:позиция,номер:5,sys_id:1684}",{sys_id:1326}
{sys_id:2818},"{type:позиция,номер:5,sys_id:1638}",{sys_id:1326}
{sys_id:2817},"{type:позиция,номер:5,sys_id:1726}",{sys_id:1326}
{sys_id:2815},"{type:позиция,номер:5,sys_id:1573}",{sys_id:1326}
{sys_id:2830},"{type:позиция,номер:5,sys_id:1670}",{sys_id:1326}
{sys_id:2828},"{type:позиция,номер:5,sys_id:1654}",{sys_id:1326}
{sys_id:2840},"{type:позиция,номер:5,sys_id:1634}",{sys_id:1326}
{sys_id:2838},"{type:позиция,номер:5,sys_id:1620}",{sys_id:1326}
{sys_id:2822},"{type:позиция,номер:5,sys_id:1536}",{sys_id:1326}
{sys_id:2834},"{type:позиция,номер:5,sys_id:1586}",{sys_id:1326}
{sys_id:2808},"{type:позиция,номер:6,sys_id:1513}",{sys_id:1326}
{sys_id:2775},"{type:позиция,номер:6,sys_id:1546}",{sys_id:1326}
{sys_id:2804},"{type:позиция,номер:6,sys_id:1463}",{sys_id:1326}
{sys_id:2767},"{type:позиция,номер:5,sys_id:1436}",{sys_id:1326}
{sys_id:2738},"{type:позиция,номер:6,sys_id:1343}",{sys_id:1326}
{sys_id:2761},"{type:позиция,номер:5,sys_id:1397}",{sys_id:1326}
{sys_id:2757},"{type:позиция,номер:5,sys_id:1374}",{sys_id:1326}
{sys_id:2734},"{type:позиция,номер:6,sys_id:1280}",{sys_id:1326}
{sys_id:2708},"{type:позиция,номер:5,sys_id:1214}",{sys_id:1326}
{sys_id:2702},"{type:позиция,номер:6,sys_id:3630}",{sys_id:1326}
{sys_id:2719},"{type:позиция,номер:5,sys_id:1151}",{sys_id:1326}
{sys_id:2624},"{type:позиция,номер:6,sys_id:3734}",{sys_id:1326}
{sys_id:2620},"{type:позиция,номер:6,sys_id:3665}",{sys_id:1326}
{sys_id:2675},"{type:позиция,номер:6,sys_id:3514}",{sys_id:1326}
{sys_id:2674},"{type:позиция,номер:5,sys_id:3461}",{sys_id:1326}
{sys_id:2671},"{type:позиция,номер:5,sys_id:3202}",{sys_id:1326}
{sys_id:446},"{type:позиция,номер:6,sys_id:3183}",{sys_id:1326}
{sys_id:2633},"{type:позиция,номер:6,sys_id:3124}",{sys_id:1326}
{sys_id:2554},"{type:позиция,номер:6,sys_id:2719}",{sys_id:1326}
{sys_id:2644},"{type:позиция,номер:6,sys_id:3028}",{sys_id:1326}
{sys_id:2582},"{type:позиция,номер:5,sys_id:2954}",{sys_id:1326}
